indCol,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
96,José Holebas,Watford,EPL,28,2395,3,3,6,0.9423716282472014,4.58044374268502,0.9423716282472014,0.03541271254373617,0.1721252345894162,0.03541271254373617,D S,17,38,12,1,5.283567450940609,7.107876501977444
97,Craig Cathcart,Watford,EPL,36,3104,3,3,0,1.8465647175908089,0.1080649271607399,1.8465647175908089,0.053540858435300515,0.003133325851954443,0.053540858435300515,D S,13,1,2,0,4.140127347782254,4.140127347782254
98,Ross Barkley,Chelsea,EPL,27,1228,3,3,5,3.652172390371561,2.515679383650422,3.652172390371561,0.26766735760052157,0.18437389619587785,0.26766735760052157,M S,40,22,1,0,5.419117795303464,10.356795282103121
99,James McArthur,Crystal Palace,EPL,38,3095,3,3,6,4.505421018227935,3.7212066669017076,4.505421018227935,0.13101385836527113,0.10820956381943576,0.13101385836527113,M S,34,31,7,0,6.773193979635835,11.979676730930805
100,Eric Dier,Tottenham,EPL,20,1519,3,3,0,1.4176097698509693,1.1008154340088367,1.4176097698509693,0.08399267892467889,0.06522277094193239,0.08399267892467889,D M S,9,8,4,0,4.851273376494646,5.309163231402636
101,Willian,Chelsea,EPL,32,2123,3,3,6,4.348796594887972,6.518496551550925,4.348796594887972,0.1843578396325565,0.2763375834383341,0.1843578396325565,F S,62,79,2,0,6.4365682220086455,12.744772039353848
102,Patrick van Aanholt,Crystal Palace,EPL,36,3202,3,3,2,2.8111321944743395,4.718274735845625,2.8111321944743395,0.07901370940121503,0.13261859032670403,0.07901370940121503,D,45,35,3,0,5.863855211995542,10.490820822305977
103,Wes Morgan,Leicester,EPL,22,1932,3,3,0,1.5354552567005157,0.13855413533747196,1.5354552567005157,0.0715274187903967,0.006454385186528197,0.0715274187903967,D S,14,3,1,2,2.2752299192361534,2.3829682054929435
104,Georginio Wijnaldum,Liverpool,EPL,35,2749,3,3,0,3.180203888565302,1.9434388419613242,3.180203888565302,0.10411726081152316,0.06362658995144387,0.10411726081152316,M S,30,25,3,0,10.547691758722067,14.712283564731479
105,Ciaran Clark,Newcastle United,EPL,11,850,3,3,0,0.4652565587311983,0.052879687398672104,0.4652565587311983,0.04926245915977394,0.005599025724565282,0.04926245915977394,D S,7,2,1,0,1.637007288634777,1.9674749225378036
106,Sam Vokes,Burnley,EPL,20,918,3,3,0,2.7301176246255636,0.8985759355127811,2.7301176246255636,0.26765859064956504,0.08809567995223344,0.26765859064956504,F S,22,8,0,0,0.2980601489543915,1.6246700435876846
107,Johann Berg Gudmundsson,Burnley,EPL,29,1732,3,3,6,2.6134579610079527,3.58649355918169,2.6134579610079527,0.13580324277754952,0.18636513875655433,0.13580324277754952,M S,33,37,2,0,3.094682715833187,7.218740660697222
108,James Tarkowski,Burnley,EPL,35,3086,3,3,1,3.64087488129735,0.20170947536826134,3.64087488129735,0.10618235233854877,0.005882648341913,0.10618235233854877,D,22,5,8,0,3.225081301294267,3.3747641379013658
109,David Luiz,Chelsea,EPL,36,3240,3,3,2,2.897742645815015,2.8587494837120175,2.897742645815015,0.0804928512726393,0.07940970788088937,0.0804928512726393,D,34,20,3,0,11.978444409556687,13.105183457024395
110,Harry Maguire,Leicester,EPL,31,2599,3,3,0,1.860539778135717,0.6665724525228143,1.860539778135717,0.06442808004317604,0.023082539717988952,0.06442808004317604,D,30,11,6,1,5.482059706002474,6.041916688904166
111,Lucas Pérez,West Ham,EPL,15,462,3,3,0,1.3946282118558884,0.8767511993646622,1.3946282118558884,0.27168082049140685,0.1707956881879212,0.27168082049140685,F S,9,8,0,0,1.1302391644567251,3.1520909890532494
112,Jeff Hendrick,Burnley,EPL,32,2089,3,3,0,1.7896255142986774,1.0732653569430113,1.7896255142986774,0.0771021044934806,0.04623929254421782,0.0771021044934806,M S,19,12,4,0,1.3670612163841724,3.25222853012383
113,Aymeric Laporte,Manchester City,EPL,35,3059,3,3,3,3.7521958290599287,0.8390772175043821,3.7521958290599287,0.11039477757940294,0.024686809276036087,0.11039477757940294,D S,26,13,3,0,21.058902746997774,22.073235519230366
114,Ivan Cavaleiro,Wolverhampton Wanderers,EPL,23,670,3,3,1,2.3749423921108246,1.5787324085831642,2.3749423921108246,0.31902211237309586,0.21206853249624594,0.31902211237309586,F M S,13,19,1,0,0.9025547774508595,4.3687595054507256
